id	stage	goals	team	opponent	year	host	GDP	max1	max2	odds	population	age	market_value	FIFA_rank	FIFA_points	UEFA_rank	UEFA_points	CL_players	EL_players	vicinity	age_coach	nationality_coach	foreigners	host_opponent	GDP_opponent	max1_opponent	max2_opponent	odds_opponent	population_opponent	age_opponent	market_value_opponent	FIFA_rank_opponent	FIFA_points_opponent	UEFA_rank_opponent	UEFA_points_opponent	CL_players_opponent	EL_players_opponent	vicinity_opponent	age_coach_opponent	nationality_coach_opponent	foreigners_opponent	phase
57	final	1	Croatia	Turkey	2008	0	15767	4	4	12	15.30535402	27.2	5.67	13	1044	27	11.624	0	0	0	39	1	20	0	10298	7	5	35	18.07234601	26.4	4.64	25	856	11	31.725	0	1	0	54	1	7	ko
57	final	1	Turkey	Croatia	2008	0	10298	7	5	35	18.07234601	26.4	4.64	25	856	11	31.725	0	1	0	54	1	7	0	15767	4	4	12	15.30535402	27.2	5.67	13	1044	27	11.624	0	0	0	39	1	20	ko
58	final	1	Netherlands	Russia	2008	0	52951	3	3	11	16.61312105	27.7	10.1	10	1123	9	38.213	2	0	0	43	1	14	0	11700	5	5	22	18.77102771	25.7	5.47	25	856	6	43.75	0	5	0	61	0	1	ko
58	final	3	Russia	Netherlands	2008	0	11700	5	5	22	18.77102771	25.7	5.47	25	856	6	43.75	0	5	0	61	0	1	0	52951	3	3	11	16.61312105	27.7	10.1	10	1123	9	38.213	2	0	0	43	1	14	ko
59	final	0	Spain	Italy	2008	0	34988	4	4	6.5	17.62844796	26	16.57	4	1323	2	75.266	7	0	0	69	1	5	0	38563	4	4	5.5	17.90348974	28.7	15.27	3	1396	3	60.41	1	2	1	44	1	4	ko
59	final	0	Italy	Spain	2008	0	38563	4	4	5.5	17.90348974	28.7	15.27	3	1396	3	60.41	1	2	1	44	1	4	0	34988	4	4	6.5	17.62844796	26	16.57	4	1323	2	75.266	7	0	0	69	1	5	ko
60	final	3	Germany	Turkey	2008	0	44132	5	3	4.5	18.22488283	26.8	10.19	5	1264	5	48.722	1	5	1	44	1	4	0	10298	7	5	35	18.07234601	26.4	4.64	25	856	11	31.725	0	1	0	54	1	7	ko
60	final	2	Turkey	Germany	2008	0	10298	7	5	35	18.07234601	26.4	4.64	25	856	11	31.725	0	1	0	54	1	7	0	44132	5	3	4.5	18.22488283	26.8	10.19	5	1264	5	48.722	1	5	1	44	1	4	ko
61	final	0	Russia	Spain	2008	0	11700	5	5	22	18.77102771	25.7	5.47	25	856	6	43.75	0	5	0	61	0	1	0	34988	4	4	6.5	17.62844796	26	16.57	4	1323	2	75.266	7	0	0	69	1	5	ko
61	final	3	Spain	Russia	2008	0	34988	4	4	6.5	17.62844796	26	16.57	4	1323	2	75.266	7	0	0	69	1	5	0	11700	5	5	22	18.77102771	25.7	5.47	25	856	6	43.75	0	5	0	61	0	1	ko
62	final	0	Germany	Spain	2008	0	44132	5	3	4.5	18.22488283	26.8	10.19	5	1264	5	48.722	1	5	1	44	1	4	0	34988	4	4	6.5	17.62844796	26	16.57	4	1323	2	75.266	7	0	0	69	1	5	ko
62	final	1	Spain	Germany	2008	0	34988	4	4	6.5	17.62844796	26	16.57	4	1323	2	75.266	7	0	0	69	1	5	0	44132	5	3	4.5	18.22488283	26.8	10.19	5	1264	5	48.722	1	5	1	44	1	4	ko
63	group	1	Poland	Greece	2012	1	13540	3	3	30	17.45732461	25.7	3.71	62	518	14	15.916	0	0	0	63	1	6	0	27073	5	3	60	16.24464019	27.8	3.64	62	953	14	34.166	0	0	0	57	0	7	group
63	group	1	Greece	Poland	2012	0	27073	5	3	60	16.24464019	27.8	3.64	15	953	12	34.166	0	0	0	57	0	7	1	13540	3	3	30	17.45732461	25.7	3.71	15	518	12	15.916	0	0	0	63	1	6	group
64	group	4	Russia	Czech Republic	2012	0	12993	7	5	25	18.77077408	28.9	7.05	13	975	9	44.707	0	1	0	64	0	2	0	20444	6	1	50	16.17400328	27.8	4.4	13	771	9	20.85	1	0	0	47	1	15	group
64	group	1	Czech Republic	Russia	2012	0	20444	6	1	50	16.17400328	27.8	4.4	27	771	17	20.85	1	0	0	47	1	15	0	12993	7	5	25	18.77077408	28.9	7.05	27	975	17	44.707	0	1	0	64	0	2	group
65	group	1	Greece	Czech Republic	2012	0	27073	5	3	60	16.24464019	27.8	3.64	15	953	12	34.166	0	0	0	57	0	7	0	20444	6	1	50	16.17400328	27.8	4.4	15	771	12	20.85	1	0	0	47	1	15	group
65	group	2	Czech Republic	Greece	2012	0	20444	6	1	50	16.17400328	27.8	4.4	27	771	17	20.85	1	0	0	47	1	15	0	27073	5	3	60	16.24464019	27.8	3.64	27	953	17	34.166	0	0	0	57	0	7	group
66	group	1	Poland	Russia	2012	1	13540	3	3	30	17.45732461	25.7	3.71	62	518	14	15.916	0	0	0	63	1	6	0	12993	7	5	25	18.77077408	28.9	7.05	62	975	14	44.707	0	1	0	64	0	2	group
66	group	1	Russia	Poland	2012	0	12993	7	5	25	18.77077408	28.9	7.05	13	975	9	44.707	0	1	0	64	0	2	1	13540	3	3	30	17.45732461	25.7	3.71	13	518	9	15.916	0	0	0	63	1	6	group
67	group	1	Greece	Russia	2012	0	27073	5	3	60	16.24464019	27.8	3.64	15	953	12	34.166	0	0	0	57	0	7	0	12993	7	5	25	18.77077408	28.9	7.05	15	975	12	44.707	0	1	0	64	0	2	group
67	group	0	Russia	Greece	2012	0	12993	7	5	25	18.77077408	28.9	7.05	13	975	9	44.707	0	1	0	64	0	2	0	27073	5	3	60	16.24464019	27.8	3.64	13	953	9	34.166	0	0	0	57	0	7	group
68	group	1	Czech Republic	Poland	2012	0	20444	6	1	50	16.17400328	27.8	4.4	27	771	17	20.85	1	0	0	47	1	15	1	13540	3	3	30	17.45732461	25.7	3.71	27	518	17	15.916	0	0	0	63	1	6	group
68	group	0	Poland	Czech Republic	2012	1	13540	3	3	30	17.45732461	25.7	3.71	62	518	14	15.916	0	0	0	63	1	6	0	20444	6	1	50	16.17400328	27.8	4.4	62	771	14	20.85	1	0	0	47	1	15	group
69	group	1	Germany	Portugal	2012	0	43742	8	4	3.2	18.22024002	25	19.96	3	1292	3	69.436	10	0	0	52	1	4	0	22413	3	3	18	16.18163367	27.6	14.68	3	996	3	51.596	4	3	0	42	1	13	group
69	group	0	Portugal	Germany	2012	0	22413	3	3	18	16.18163367	27.6	14.68	10	996	5	51.596	4	3	0	42	1	13	0	43742	8	4	3.2	18.22024002	25	19.96	10	1292	5	69.436	10	0	0	52	1	4	group
70	group	0	Netherlands	Denmark	2012	0	50355	3	1	7	16.63534063	27.7	12.04	4	1234	4	40.129	2	1	0	60	1	16	0	59928	4	3	60	15.53452011	27.1	3.78	4	1019	4	30.55	0	0	0	62	1	16	group
70	group	1	Denmark	Netherlands	2012	0	59928	4	3	60	15.53452011	27.1	3.78	9	1019	22	30.55	0	0	0	62	1	16	0	50355	3	1	7	16.63534063	27.7	12.04	9	1234	22	40.129	2	1	0	60	1	16	group
71	group	1	Netherlands	Germany	2012	0	50355	3	1	7	16.63534063	27.7	12.04	4	1234	4	40.129	2	1	0	60	1	16	0	43742	8	4	3.2	18.22024002	25	19.96	4	1292	4	69.436	10	0	0	52	1	4	group
71	group	2	Germany	Netherlands	2012	0	43742	8	4	3.2	18.22024002	25	19.96	3	1292	3	69.436	10	0	0	52	1	4	0	50355	3	1	7	16.63534063	27.7	12.04	3	1234	3	40.129	2	1	0	60	1	16	group
72	group	2	Denmark	Portugal	2012	0	59928	4	3	60	15.53452011	27.1	3.78	9	1019	22	30.55	0	0	0	62	1	16	0	22413	3	3	18	16.18163367	27.6	14.68	9	996	22	51.596	4	3	0	42	1	13	group
72	group	3	Portugal	Denmark	2012	0	22413	3	3	18	16.18163367	27.6	14.68	10	996	5	51.596	4	3	0	42	1	13	0	59928	4	3	60	15.53452011	27.1	3.78	10	1019	5	30.55	0	0	0	62	1	16	group
73	group	2	Portugal	Netherlands	2012	0	22413	3	3	18	16.18163367	27.6	14.68	10	996	5	51.596	4	3	0	42	1	13	0	50355	3	1	7	16.63534063	27.7	12.04	10	1234	5	40.129	2	1	0	60	1	16	group
73	group	1	Netherlands	Portugal	2012	0	50355	3	1	7	16.63534063	27.7	12.04	4	1234	4	40.129	2	1	0	60	1	16	0	22413	3	3	18	16.18163367	27.6	14.68	4	996	4	51.596	4	3	0	42	1	13	group
74	group	1	Denmark	Germany	2012	0	59928	4	3	60	15.53452011	27.1	3.78	9	1019	22	30.55	0	0	0	62	1	16	0	43742	8	4	3.2	18.22024002	25	19.96	9	1292	22	69.436	10	0	0	52	1	4	group
74	group	2	Germany	Denmark	2012	0	43742	8	4	3.2	18.22024002	25	19.96	3	1292	3	69.436	10	0	0	52	1	4	0	59928	4	3	60	15.53452011	27.1	3.78	3	1019	3	30.55	0	0	0	62	1	16	group
75	group	1	Spain	Italy	2012	0	32360	7	5	3.2	17.64612826	27.2	28.61	1	1456	1	82.329	14	3	0	61	1	4	0	36267	7	3	12	17.92715462	28.4	12.87	1	977	1	60.552	0	0	0	54	1	3	group
75	group	1	Italy	Spain	2012	0	36267	7	3	12	17.92715462	28.4	12.87	12	977	6	60.552	0	0	0	54	1	3	0	32360	7	5	3.2	17.64612826	27.2	28.61	12	1456	6	82.329	14	3	0	61	1	4	group
76	group	1	Ireland	Croatia	2012	0	47513	3	3	75	15.31981015	28.9	3.09	18	907	35	8.708	0	0	0	73	0	23	0	14457	5	2	30	15.30142398	27	6.63	18	1053	35	16.124	1	0	0	43	1	18	group
76	group	3	Croatia	Ireland	2012	0	14457	5	2	30	15.30142398	27	6.63	8	1053	20	16.124	1	0	0	43	1	18	0	47513	3	3	75	15.31981015	28.9	3.09	8	907	20	8.708	0	0	0	73	0	23	group
77	group	1	Italy	Croatia	2012	0	36267	7	3	12	17.92715462	28.4	12.87	12	977	6	60.552	0	0	0	54	1	3	0	14457	5	2	30	15.30142398	27	6.63	12	1053	6	16.124	1	0	0	43	1	18	group
77	group	1	Croatia	Italy	2012	0	14457	5	2	30	15.30142398	27	6.63	8	1053	20	16.124	1	0	0	43	1	18	0	36267	7	3	12	17.92715462	28.4	12.87	8	977	20	60.552	0	0	0	54	1	3	group
78	group	4	Spain	Ireland	2012	0	32360	7	5	3.2	17.64612826	27.2	28.61	1	1456	1	82.329	14	3	0	61	1	4	0	47513	3	3	75	15.31981015	28.9	3.09	1	907	1	8.708	0	0	0	73	0	23	group
78	group	0	Ireland	Spain	2012	0	47513	3	3	75	15.31981015	28.9	3.09	18	907	35	8.708	0	0	0	73	0	23	0	32360	7	5	3.2	17.64612826	27.2	28.61	18	1456	35	82.329	14	3	0	61	1	4	group
79	group	2	Italy	Ireland	2012	0	36267	7	3	12	17.92715462	28.4	12.87	12	977	6	60.552	0	0	0	54	1	3	0	47513	3	3	75	15.31981015	28.9	3.09	12	907	6	8.708	0	0	0	73	0	23	group
79	group	0	Ireland	Italy	2012	0	47513	3	3	75	15.31981015	28.9	3.09	18	907	35	8.708	0	0	0	73	0	23	0	36267	7	3	12	17.92715462	28.4	12.87	18	977	35	60.552	0	0	0	54	1	3	group
80	group	0	Croatia	Spain	2012	0	14457	5	2	30	15.30142398	27	6.63	8	1053	20	16.124	1	0	0	43	1	18	0	32360	7	5	3.2	17.64612826	27.2	28.61	8	1456	20	82.329	14	3	0	61	1	4	group
80	group	1	Spain	Croatia	2012	0	32360	7	5	3.2	17.64612826	27.2	28.61	1	1456	1	82.329	14	3	0	61	1	4	0	14457	5	2	30	15.30142398	27	6.63	1	1053	1	16.124	1	0	0	43	1	18	group
81	group	1	France	England	2012	0	44008	3	2	12	17.99908625	27.3	14.78	14	964	7	53.678	3	1	0	46	1	11	0	38592	6	4	10	17.96045317	26.5	17.05	14	1145	7	85.785	2	0	0	65	1	0	group
81	group	1	England	France	2012	0	38592	6	4	10	17.96045317	26.5	17.05	6	1145	2	85.785	2	0	0	65	1	0	0	44008	3	2	12	17.99908625	27.3	14.78	6	964	2	53.678	3	1	0	46	1	11	group
82	group	2	Ukraine	Sweden	2012	1	3621	9	5	45	17.63517702	27.9	4.67	52	572	11	43.883	1	0	0	59	1	2	0	56956	2	1	50	16.06764411	28.9	5.34	52	910	11	14.125	0	0	0	54	1	20	group
82	group	1	Sweden	Ukraine	2012	0	56956	2	1	50	16.06764411	28.9	5.34	17	910	23	14.125	0	0	0	54	1	20	1	3621	9	5	45	17.63517702	27.9	4.67	17	572	23	43.883	1	0	0	59	1	2	group
83	group	2	Sweden	England	2012	0	56956	2	1	50	16.06764411	28.9	5.34	17	910	23	14.125	0	0	0	54	1	20	0	38592	6	4	10	17.96045317	26.5	17.05	17	1145	23	85.785	2	0	0	65	1	0	group
83	group	3	England	Sweden	2012	0	38592	6	4	10	17.96045317	26.5	17.05	6	1145	2	85.785	2	0	0	65	1	0	0	56956	2	1	50	16.06764411	28.9	5.34	6	910	2	14.125	0	0	0	54	1	20	group
84	group	0	Ukraine	France	2012	1	3621	9	5	45	17.63517702	27.9	4.67	52	572	11	43.883	1	0	0	59	1	2	0	44008	3	2	12	17.99908625	27.3	14.78	52	964	11	53.678	3	1	0	46	1	11	group
84	group	2	France	Ukraine	2012	0	44008	3	2	12	17.99908625	27.3	14.78	14	964	7	53.678	3	1	0	46	1	11	1	3621	9	5	45	17.63517702	27.9	4.67	14	572	7	43.883	1	0	0	59	1	2	group
85	group	1	England	Ukraine	2012	0	38592	6	4	10	17.96045317	26.5	17.05	6	1145	2	85.785	2	0	0	65	1	0	1	3621	9	5	45	17.63517702	27.9	4.67	6	572	2	43.883	1	0	0	59	1	2	group
85	group	0	Ukraine	England	2012	1	3621	9	5	45	17.63517702	27.9	4.67	52	572	11	43.883	1	0	0	59	1	2	0	38592	6	4	10	17.96045317	26.5	17.05	52	1145	11	85.785	2	0	0	65	1	0	group
86	group	2	Sweden	France	2012	0	56956	2	1	50	16.06764411	28.9	5.34	17	910	23	14.125	0	0	0	54	1	20	0	44008	3	2	12	17.99908625	27.3	14.78	17	964	23	53.678	3	1	0	46	1	11	group
86	group	0	France	Sweden	2012	0	44008	3	2	12	17.99908625	27.3	14.78	14	964	7	53.678	3	1	0	46	1	11	0	56956	2	1	50	16.06764411	28.9	5.34	14	910	7	14.125	0	0	0	54	1	20	group
87	final	0	Czech Republic	Portugal	2012	0	20444	6	1	50	16.17400328	27.8	4.4	27	771	17	20.85	1	0	0	47	1	15	0	22413	3	3	18	16.18163367	27.6	14.68	27	996	17	51.596	4	3	0	42	1	13	ko
87	final	1	Portugal	Czech Republic	2012	0	22413	3	3	18	16.18163367	27.6	14.68	10	996	5	51.596	4	3	0	42	1	13	0	20444	6	1	50	16.17400328	27.8	4.4	10	771	5	20.85	1	0	0	47	1	15	ko
88	final	4	Germany	Greece	2012	0	43742	8	4	3.2	18.22024002	25	19.96	3	1292	3	69.436	10	0	0	52	1	4	0	27073	5	3	60	16.24464019	27.8	3.64	3	953	3	34.166	0	0	0	57	0	7	ko
88	final	2	Greece	Germany	2012	0	27073	5	3	60	16.24464019	27.8	3.64	15	953	12	34.166	0	0	0	57	0	7	0	43742	8	4	3.2	18.22024002	25	19.96	15	1292	12	69.436	10	0	0	52	1	4	ko
89	final	2	Spain	France	2012	0	32360	7	5	3.2	17.64612826	27.2	28.61	1	1456	1	82.329	14	3	0	61	1	4	0	44008	3	2	12	17.99908625	27.3	14.78	1	964	1	53.678	3	1	0	46	1	11	ko
89	final	0	France	Spain	2012	0	44008	3	2	12	17.99908625	27.3	14.78	14	964	7	53.678	3	1	0	46	1	11	0	32360	7	5	3.2	17.64612826	27.2	28.61	14	1456	7	82.329	14	3	0	61	1	4	ko
90	final	0	England	Italy	2012	0	38592	6	4	10	17.96045317	26.5	17.05	6	1145	2	85.785	2	0	0	65	1	0	0	36267	7	3	12	17.92715462	28.4	12.87	6	977	2	60.552	0	0	0	54	1	3	ko
90	final	0	Italy	England	2012	0	36267	7	3	12	17.92715462	28.4	12.87	12	977	6	60.552	0	0	0	54	1	3	0	38592	6	4	10	17.96045317	26.5	17.05	12	1145	6	85.785	2	0	0	65	1	0	ko
91	final	0	Portugal	Spain	2012	0	22413	3	3	18	16.18163367	27.6	14.68	10	996	5	51.596	4	3	0	42	1	13	0	32360	7	5	3.2	17.64612826	27.2	28.61	10	1456	5	82.329	14	3	0	61	1	4	ko
91	final	0	Spain	Portugal	2012	0	32360	7	5	3.2	17.64612826	27.2	28.61	1	1456	1	82.329	14	3	0	61	1	4	0	22413	3	3	18	16.18163367	27.6	14.68	1	996	1	51.596	4	3	0	42	1	13	ko
92	final	1	Germany	Italy	2012	0	43742	8	4	3.2	18.22024002	25	19.96	3	1292	3	69.436	10	0	0	52	1	4	0	36267	7	3	12	17.92715462	28.4	12.87	3	977	3	60.552	0	0	0	54	1	3	ko
92	final	2	Italy	Germany	2012	0	36267	7	3	12	17.92715462	28.4	12.87	12	977	6	60.552	0	0	0	54	1	3	0	43742	8	4	3.2	18.22024002	25	19.96	12	1292	6	69.436	10	0	0	52	1	4	ko
93	final	4	Spain	Italy	2012	0	32360	7	5	3.2	17.64612826	27.2	28.61	1	1456	1	82.329	14	3	0	61	1	4	0	36267	7	3	12	17.92715462	28.4	12.87	1	977	1	60.552	0	0	0	54	1	3	ko
93	final	0	Italy	Spain	2012	0	36267	7	3	12	17.92715462	28.4	12.87	12	977	6	60.552	0	0	0	54	1	3	0	32360	7	5	3.2	17.64612826	27.2	28.61	12	1456	6	82.329	14	3	0	61	1	4	ko
