id	stage	goals	team	opponent	year	host	GDP	max1	max2	odds	population	age	market_value	FIFA_rank	FIFA_points	UEFA_rank	UEFA_points	CL_players	EL_players	vicinity	age_coach	nationality_coach	foreigners	host_opponent	GDP_opponent	max1_opponent	max2_opponent	odds_opponent	population_opponent	age_opponent	market_value_opponent	FIFA_rank_opponent	FIFA_points_opponent	UEFA_rank_opponent	UEFA_points_opponent	CL_players_opponent	EL_players_opponent	vicinity_opponent	age_coach_opponent	nationality_coach_opponent	foreigners_opponent	phase
14	group	5	Sweden	Bulgaria	2004	0	40261	2	2	20	16.01002814	27.3	4.32	21	660	24	16.716	0	0	0	55	1	18	0	3249	4	4	60	15.86979748	27.7	2.3	38	618	20	19.998	0	0	0	46	1	11	group
14	group	0	Bulgaria	Sweden	2004	0	3249	4	4	60	15.86979748	27.7	2.3	38	618	20	19.998	0	0	0	46	1	11	0	40261	2	2	20	16.01002814	27.3	4.32	21	660	24	16.716	0	0	0	55	1	18	group
15	group	0	Bulgaria	Denmark	2004	0	3249	4	4	60	15.86979748	27.7	2.3	38	618	20	19.998	0	0	0	46	1	11	0	45282	2	2	20	15.50147238	26.9	4.18	14	700	22	17.45	1	0	0	54	1	20	group
15	group	2	Denmark	Bulgaria	2004	0	45282	2	2	20	15.50147238	26.9	4.18	14	700	22	17.45	1	0	0	54	1	20	0	3249	4	4	60	15.86979748	27.7	2.3	38	618	20	19.998	0	0	0	46	1	11	group
16	group	1	Italy	Sweden	2004	0	29833	5	5	5	17.8740249	28	16.15	11	717	3	59.186	0	0	0	65	1	0	0	40261	2	2	20	16.01002814	27.3	4.32	21	660	24	16.716	0	0	0	55	1	18	group
16	group	1	Sweden	Italy	2004	0	40261	2	2	20	16.01002814	27.3	4.32	21	660	24	16.716	0	0	0	55	1	18	0	29833	5	5	5	17.8740249	28	16.15	11	717	3	59.186	0	0	0	65	1	0	group
17	group	2	Italy	Bulgaria	2004	0	29833	5	5	5	17.8740249	28	16.15	11	717	3	59.186	0	0	0	65	1	0	0	3249	4	4	60	15.86979748	27.7	2.3	38	618	20	19.998	0	0	0	46	1	11	group
17	group	1	Bulgaria	Italy	2004	0	3249	4	4	60	15.86979748	27.7	2.3	38	618	20	19.998	0	0	0	46	1	11	0	29833	5	5	5	17.8740249	28	16.15	11	717	3	59.186	0	0	0	65	1	0	group
18	group	2	Denmark	Sweden	2004	0	45282	2	2	20	15.50147238	26.9	4.18	14	700	22	17.45	1	0	0	54	1	20	0	40261	2	2	20	16.01002814	27.3	4.32	21	660	24	16.716	0	0	0	55	1	18	group
18	group	2	Sweden	Denmark	2004	0	40261	2	2	20	16.01002814	27.3	4.32	21	660	24	16.716	0	0	0	55	1	18	0	45282	2	2	20	15.50147238	26.9	4.18	14	700	22	17.45	1	0	0	54	1	20	group
19	group	2	Czech Republic	Latvia	2004	0	10721	2	2	7	16.13902069	26.8	6.36	10	720	9	33.075	1	1	0	64	1	20	0	5950	7	3	100	14.65673415	29	1.18	52	551	31	5.998	0	0	0	48	1	12	group
19	group	1	Latvia	Czech Republic	2004	0	5950	7	3	100	14.65673415	29	1.18	52	551	31	5.998	0	0	0	48	1	12	0	10721	2	2	7	16.13902069	26.8	6.36	10	720	9	33.075	1	1	0	64	1	20	group
20	group	1	Germany	Netherlands	2004	0	33040	4	4	7	18.22869267	27.1	7.25	9	723	4	49.489	0	0	0	44	1	3	0	37458	6	3	5.5	16.60409762	28.4	10.05	4	744	8	34.081	0	0	0	56	1	17	group
20	group	1	Netherlands	Germany	2004	0	37458	6	3	5.5	16.60409762	28.4	10.05	4	744	8	34.081	0	0	0	56	1	17	0	33040	4	4	7	18.22869267	27.1	7.25	9	723	4	49.489	0	0	0	44	1	3	group
21	group	0	Latvia	Germany	2004	0	5950	7	3	100	14.65673415	29	1.18	52	551	31	5.998	0	0	0	48	1	12	0	33040	4	4	7	18.22869267	27.1	7.25	9	723	4	49.489	0	0	0	44	1	3	group
21	group	0	Germany	Latvia	2004	0	33040	4	4	7	18.22869267	27.1	7.25	9	723	4	49.489	0	0	0	44	1	3	0	5950	7	3	100	14.65673415	29	1.18	52	551	31	5.998	0	0	0	48	1	12	group
22	group	2	Netherlands	Czech Republic	2004	0	37458	6	3	5.5	16.60409762	28.4	10.05	4	744	8	34.081	0	0	0	56	1	17	0	10721	2	2	7	16.13902069	26.8	6.36	10	720	9	33.075	1	1	0	64	1	20	group
22	group	3	Czech Republic	Netherlands	2004	0	10721	2	2	7	16.13902069	26.8	6.36	10	720	9	33.075	1	1	0	64	1	20	0	37458	6	3	5.5	16.60409762	28.4	10.05	4	744	8	34.081	0	0	0	56	1	17	group
23	group	3	Netherlands	Latvia	2004	0	37458	6	3	5.5	16.60409762	28.4	10.05	4	744	8	34.081	0	0	0	56	1	17	0	5950	7	3	100	14.65673415	29	1.18	52	551	31	5.998	0	0	0	48	1	12	group
23	group	0	Latvia	Netherlands	2004	0	5950	7	3	100	14.65673415	29	1.18	52	551	31	5.998	0	0	0	48	1	12	0	37458	6	3	5.5	16.60409762	28.4	10.05	4	744	8	34.081	0	0	0	56	1	17	group
24	group	1	Germany	Czech Republic	2004	0	33040	4	4	7	18.22869267	27.1	7.25	9	723	4	49.489	0	0	0	44	1	3	0	10721	2	2	7	16.13902069	26.8	6.36	10	720	9	33.075	1	1	0	64	1	20	group
24	group	2	Czech Republic	Germany	2004	0	10721	2	2	7	16.13902069	26.8	6.36	10	720	9	33.075	1	1	0	64	1	20	0	33040	4	4	7	18.22869267	27.1	7.25	9	723	4	49.489	0	0	0	44	1	3	group
25	final	2	Portugal	England	2004	1	17654	6	4	6	16.16447195	26.8	11.07	20	662	6	42.333	6	0	1	55	0	10	0	36771	4	4	7	17.90479295	25.7	12.48	12	714	2	62.153	4	1	0	56	0	2	ko
25	final	2	England	Portugal	2004	0	36771	4	4	7	17.90479295	25.7	12.48	12	714	2	62.153	4	1	0	56	0	2	1	17654	6	4	6	16.16447195	26.8	11.07	20	662	6	42.333	6	0	1	55	0	10	ko
26	final	0	France	Greece	2004	0	32874	4	3	3.25	17.94734743	28.3	12.93	2	819	5	48.326	4	2	0	52	1	15	0	20607	5	4	45	16.21709447	28.4	3.22	34	638	7	34.748	0	0	0	65	0	11	ko
26	final	1	Greece	France	2004	0	20607	5	4	45	16.21709447	28.4	3.22	34	638	7	34.748	0	0	0	65	0	11	0	32874	4	3	3.25	17.94734743	28.3	12.93	2	819	5	48.326	4	2	0	52	1	15	ko
27	final	0	Sweden	Netherlands	2004	0	40261	2	2	20	16.01002814	27.3	4.32	21	660	24	16.716	0	0	0	55	1	18	0	37458	6	3	5.5	16.60409762	28.4	10.05	4	744	8	34.081	0	0	0	56	1	17	ko
