"team","opponent","max2","odds","market_value","FIFA_points","UEFA_rank","UEFA_points","CL_players","max2_opponent","odds_opponent","market_value_opponent","FIFA_points_opponent","UEFA_rank_opponent","UEFA_points_opponent","CL_players_opponent","result","past_scores","past_scores_opponent","GDP","GDP_opponent","population","population_opponent","t_sne_1","t_sne_2","id"
"Portugal","Greece",0.75,0.0289256198347107,0.360554137805323,0.296099290780142,0.147058823529412,0.455400002506674,0.428571428571429,0.75,0.431818181818182,0.0743711265038279,0.274822695035461,0.176470588235294,0.360334390314212,0,"loss",0.417582417504528,0,0.0524323676576405,0.0584861717289791,0.0586545771970828,0.0618787486272633,106.229369546048,-197.040251793173,1
"Spain","Russia",0.75,0.0340909090909091,0.350710900473934,0.404255319148936,0,0.925626981839147,0.357142857142857,0.75,0.380165289256198,0.0710900473933649,0.287234042553192,0.588235294117647,0.174439445022372,0.0714285714285714,"win",0.19780219779133,0,0.36830285441966,0.578931907464232,0.312871793427759,1,-362.671247061795,416.472353323271,2
"Greece","Spain",0.75,0.431818181818182,0.0743711265038279,0.274822695035461,0.176470588235294,0.360334390314212,0,0.75,0.0340909090909091,0.350710900473934,0.404255319148936,0,0.925626981839147,0.357142857142857,"draw",0,0.19780219779133,0.0584861717289791,0.36830285441966,0.0618787486272633,0.312871793427759,-158.064240708319,-43.4326261163294,3
"Russia","Portugal",0.75,0.380165289256198,0.0710900473933649,0.287234042553192,0.588235294117647,0.174439445022372,0.0714285714285714,0.75,0.0289256198347107,0.360554137805323,0.296099290780142,0.147058823529412,0.455400002506674,0.428571428571429,"loss",0,0.417582417504528,0.578931907464232,0.0524323676576405,1,0.0586545771970828,-384.863627292454,84.125035473615,4
"Spain","Portugal",0.75,0.0340909090909091,0.350710900473934,0.404255319148936,0,0.925626981839147,0.357142857142857,0.75,0.0289256198347107,0.360554137805323,0.296099290780142,0.147058823529412,0.455400002506674,0.428571428571429,"loss",0.19780219779133,0.417582417504528,0.36830285441966,0.0524323676576405,0.312871793427759,0.0586545771970828,659.77417168625,-1142.21403138184,5
"Russia","Greece",0.75,0.380165289256198,0.0710900473933649,0.287234042553192,0.588235294117647,0.174439445022372,0.0714285714285714,0.75,0.431818181818182,0.0743711265038279,0.274822695035461,0.176470588235294,0.360334390314212,0,"win",0,0,0.578931907464232,0.0584861717289791,1,0.0618787486272633,-393.892577992359,81.8249052297349,6
"Switzerland","Croatia",0.25,0.586776859504132,0.0484870579657309,0.221631205673759,0.352941176470588,0.205259002093073,0,0,0.431818181818182,0.0619759387531899,0.289893617021277,0.647058823529412,0.142592151603645,0.0714285714285714,"draw",0,0.0659340659304432,0.17194451271371,0.00751871148064663,0.0442514008954467,0.0158463098020443,-342.783380099109,-166.36153124759,7
"France","England",0.5,0.000516528925619833,0.428363106088225,0.435283687943262,0.117647058823529,0.530512489503303,0.285714285714286,0.75,0.0392561983471074,0.41195771053591,0.342198581560284,0.0294117647058824,0.703811397846767,0.285714285714286,"win",1,0.208791208834682,0.750736059801287,0.694813822778658,0.453622617069805,0.368439726297412,140.430582154865,109.097254273203,8
"England","Switzerland",0.75,0.0392561983471074,0.41195771053591,0.342198581560284,0.0294117647058824,0.703811397846767,0.285714285714286,0.25,0.586776859504132,0.0484870579657309,0.221631205673759,0.352941176470588,0.205259002093073,0,"win",0.208791208834682,0,0.694813822778658,0.17194451271371,0.368439726297412,0.0442514008954467,156.851587726179,-202.157176172252,9
"Croatia","France",0,0.431818181818182,0.0619759387531899,0.289893617021277,0.647058823529412,0.142592151603645,0.0714285714285714,0.5,0.000516528925619833,0.428363106088225,0.435283687943262,0.117647058823529,0.530512489503303,0.285714285714286,"draw",0.0659340659304432,1,0.00751871148064663,0.750736059801287,0.0158463098020443,0.453622617069805,137.05901127202,200.96048464647,10
